Platform,Total Time Spent,Number of Sessions,Engagement,Scroll Rate,Self Control,Addiction Level
Snapchat,352.22,68.72,5.19,6.05,7.54,7.99
Instagram,112.18,63.68,4.63,8.7,4.95,4.97
Instagram,78.25,81.56,3.13,2.97,2.16,3.61
Snapchat,344.37,97.23,6.29,3.34,6.69,6.04
Snapchat,259.69,82.78,7.17,1.64,6.51,4.4
YouTube,377.2,48.46,7.03,4.6,1.12,10.0
Instagram,202.72,63.94,7.64,6.32,4.99,6.5
Twitter,123.39,78.52,6.65,6.21,1.82,5.49
Facebook,185.87,78.49,4.93,6.3,3.67,5.87
Facebook,65.97,119.45,7.68,3.18,3.19,3.36
Snapchat,45.93,52.28,3.28,7.61,6.62,2.64
YouTube,97.91,90.11,4.2,6.48,5.23,3.66
Facebook,453.43,109.78,4.07,7.47,2.43,10.0
Instagram,106.62,125.43,8.16,2.21,6.76,2.59
Snapchat,29.14,71.91,7.89,6.62,2.13,3.96
Twitter,147.34,89.83,6.97,3.62,5.66,3.88
Snapchat,105.43,91.4,8.14,5.21,3.37,4.49
Twitter,356.54,83.91,4.24,7.07,4.27,8.89
Snapchat,432.32,78.02,6.7,6.18,6.01,9.77
Snapchat,118.78,88.72,5.75,4.3,6.04,3.44
Snapchat,202.58,29.36,7.69,6.01,7.67,7.8
Twitter,215.11,93.64,5.77,2.94,4.84,4.71
Twitter,160.46,82.52,5.23,8.3,5.61,5.4
Snapchat,138.66,75.55,7.08,5.59,4.12,4.97
Facebook,73.56,120.94,7.75,8.24,5.36,3.9
YouTube,23.89,66.5,4.66,4.95,5.88,2.11
YouTube,73.16,71.94,5.88,4.95,4.8,3.38
YouTube,156.13,119.83,3.88,4.47,1.39,5.07
Twitter,40.83,63.36,1.0,7.75,5.66,2.36
Twitter,194.88,69.0,6.4,4.58,5.73,5.11
Facebook,175.78,77.06,7.22,7.29,3.64,6.38
YouTube,105.58,96.81,6.52,5.24,2.43,4.58
YouTube,134.0,84.16,2.1,2.05,7.95,2.37
Snapchat,48.89,54.15,5.3,4.86,5.98,2.65
Twitter,298.37,69.36,1.56,3.64,4.54,6.3
YouTube,294.9,67.85,8.74,6.07,2.73,8.83
Facebook,58.03,78.46,3.83,3.62,3.36,3.12
Facebook,59.69,88.52,8.51,7.85,7.61,3.18
YouTube,74.06,88.36,7.89,5.82,5.28,3.56
Twitter,248.48,44.48,4.2,5.64,3.9,7.94
Facebook,214.62,101.28,3.73,7.31,6.02,5.44
Snapchat,341.73,85.05,6.7,7.93,3.37,9.65
Facebook,367.85,107.69,4.31,5.96,8.0,6.83
Instagram,36.85,88.88,6.2,4.46,7.71,1.79
Instagram,242.26,102.03,5.03,2.45,4.07,5.03
Twitter,358.04,89.33,2.44,4.63,3.74,7.54
YouTube,127.15,106.92,1.54,4.77,1.0,4.68
